County(conn),Is any conn county name == maryland county?,COUNTY(maryland)
Andover,FALSE,Allegany
Ansonia,FALSE,Anne Arundel
Ashford,FALSE,Baltimore City
Avon,FALSE,Baltimore County
Barkhamsted,FALSE,Calvert
Beacon Falls,FALSE,Caroline
Berlin,FALSE,Carroll
Bethany,FALSE,Cecil
Bethel,FALSE,Charles
Bethlehem,FALSE,Dorchester
Bloomfield,FALSE,Frederick
Bolton,FALSE,Garrett
Bozrah,FALSE,Harford
Branford,FALSE,Howard
Bridgeport,FALSE,Kent
Bridgewater,FALSE,Montgomery
Bristol,FALSE,Prince George's
Brookfield,FALSE,Queen Anne's
Brooklyn,FALSE,Saint Mary's
Burlington,FALSE,Somerset
Canaan,FALSE,Talbot
Canterbury,FALSE,Washington
Canton,FALSE,Wicomico
Chaplin,FALSE,Worcester
Cheshire,FALSE,
Chester,FALSE,
Clinton,FALSE,
Colchester,FALSE,
Colebrook,FALSE,
Columbia,FALSE,
Cornwall,FALSE,
Coventry,FALSE,
Cromwell,FALSE,
Danbury,FALSE,
Darien,FALSE,
Deep River,FALSE,
Derby,FALSE,
Durham,FALSE,
East Granby,FALSE,
East Haddam,FALSE,
East Hampton,FALSE,
East Hartford,FALSE,
East Haven,FALSE,
East Lyme,FALSE,
East Windsor,FALSE,
Eastford,FALSE,
Easton,FALSE,
Ellington,FALSE,
Enfield,FALSE,
Essex,FALSE,
Fairfield,FALSE,
Farmington,FALSE,
Franklin,FALSE,
Glastonbury,FALSE,
Goshen,FALSE,
Granby,FALSE,
Greenwich,FALSE,
Griswold,FALSE,
Groton,FALSE,
Guilford,FALSE,
Haddam,FALSE,
Hamden,FALSE,
Hampton,FALSE,
Hartford,FALSE,
Hartland,FALSE,
Harwinton,FALSE,
Hebron,FALSE,
Kent,FALSE,
Killingly,FALSE,
Killingworth,FALSE,
Lebanon,FALSE,
Ledyard,FALSE,
Lisbon,FALSE,
Litchfield,FALSE,
Lyme,FALSE,
Madison,FALSE,
Manchester,FALSE,
Mansfield,FALSE,
Marlborough,FALSE,
Meriden,FALSE,
Middlebury,FALSE,
Middlefield,FALSE,
Middletown,FALSE,
Milford,FALSE,
Monroe,FALSE,
Montville,FALSE,
Morris,FALSE,
Naugatuck,FALSE,
New Britain,FALSE,
New Canaan,FALSE,
New Fairfield,FALSE,
New Hartford,FALSE,
New Haven,FALSE,
New London,FALSE,
New Milford,FALSE,
Newington,FALSE,
Newtown,FALSE,
Norfolk,FALSE,
North Branford,FALSE,
North Canaan,FALSE,
North Haven,FALSE,
North Stonington,FALSE,
Norwalk,FALSE,
Norwich,FALSE,
Old Lyme,FALSE,
Old Saybrook,FALSE,
Orange,FALSE,
Oxford,FALSE,
Plainfield,FALSE,
Plainville,FALSE,
Plymouth,FALSE,
Pomfret,FALSE,
Portland,FALSE,
Preston,FALSE,
Prospect,FALSE,
Putnam,FALSE,
Redding,FALSE,
Ridgefield,FALSE,
Rocky Hill,FALSE,
Roxbury,FALSE,
Salem,FALSE,
Salisbury,FALSE,
Scotland,FALSE,
Seymour,FALSE,
Sharon,FALSE,
Shelton,FALSE,
Sherman,FALSE,
Simsbury,FALSE,
Somers,FALSE,
South Windsor,FALSE,
Southbury,FALSE,
Southington,FALSE,
Sprague,FALSE,
Stafford,FALSE,
Stamford,FALSE,
Sterling,FALSE,
Stonington,FALSE,
Stratford,FALSE,
Suffield,FALSE,
Thomaston,FALSE,
Thompson,FALSE,
Tolland,FALSE,
Torrington,FALSE,
Trumbull,FALSE,
Union,FALSE,
Vernon,FALSE,
Voluntown,FALSE,
Wallingford,FALSE,
Warren,FALSE,
Washington,FALSE,
Waterbury,FALSE,
Waterford,FALSE,
Watertown,FALSE,
West Hartford,FALSE,
West Haven,FALSE,
Westbrook,FALSE,
Weston,FALSE,
Westport,FALSE,
Wethersfield,FALSE,
Willington,FALSE,
Wilton,FALSE,
Winchester,FALSE,
Windham,FALSE,
Windsor,FALSE,
Windsor Locks,FALSE,
Wolcott,FALSE,
Woodbridge,FALSE,
Woodbury,FALSE,
Woodstock,FALSE,
